replId,timestamp,duration,lineItemLabel,lineItemAmount,totalAgentUsage
t-quickshoe-llc,,Worked for 2 minutes,Worked for 2 minutesTime worked2 minutesWork done19 actionsItems read518 linesCode changed+117-158Agent Usage,$0.33,$0.33
t-quickshoe-llc,,Worked for 13 seconds,Worked for 13 secondsTime worked13 secondsAgent Usage,$0.06,$0.06
t-quickshoe-llc,,Worked for 6 minutes,Worked for 6 minutesTime worked6 minutesWork done17 actionsItems read116 linesCode changed+1216-153Agent Usage,$1.55,$1.55
t-quickshoe-llc,,Worked for 16 seconds,Worked for 16 secondsTime worked16 secondsAgent Usage,$0.36,$0.36
t-quickshoe-llc,,Worked for 15 seconds,Worked for 15 secondsTime worked15 secondsWork done1 actionAgent Usage,$0.36,$0.36
t-quickshoe-llc,,Worked for 1 minute,Worked for 1 minuteTime worked1 minuteWork done6 actionsItems read441 linesCode changed+89-14Agent Usage,$1.22,$1.22
t-quickshoe-llc,,Worked for 37 seconds,Worked for 37 secondsTime worked37 secondsWork done1 actionAgent Usage,$0.38,$0.38
t-quickshoe-llc,,Worked for 2 minutes,Worked for 2 minutesTime worked2 minutesWork done17 actionsItems read435 linesCode changed+121-50Agent Usage,$1.26,$1.26
t-quickshoe-llc,,Worked for 11 seconds,Worked for 11 secondsTime worked11 secondsAgent Usage,$0.29,$0.29
t-quickshoe-llc,,Worked for 16 seconds,Worked for 16 secondsTime worked16 secondsWork done1 actionAgent Usage,$0.30,$0.30
t-quickshoe-llc,,Worked for 1 minute,Worked for 1 minuteTime worked1 minuteWork done8 actionsItems read170 linesCode changed+158-154Agent Usage,$0.83,$0.83
t-quickshoe-llc,,Worked for 12 seconds,Worked for 12 secondsTime worked12 secondsAgent Usage,$0.37,$0.37
t-quickshoe-llc,,Worked for 23 seconds,Worked for 23 secondsTime worked23 secondsAgent Usage,$0.11,$0.11
t-quickshoe-llc,,Worked for 23 seconds,Worked for 23 secondsTime worked23 secondsWork done1 actionAgent Usage,$0.12,$0.12
t-quickshoe-llc,,Worked for 17 seconds,Worked for 17 secondsTime worked17 secondsWork done1 actionAgent Usage,$0.42,$0.42
t-quickshoe-llc,,Worked for 3 minutes,Worked for 3 minutesTime worked3 minutesWork done19 actionsItems read518 linesCode changed+212-212Agent Usage,$1.50,$1.50
t-quickshoe-llc,,Worked for 29 seconds,Worked for 29 secondsTime worked29 secondsWork done1 actionAgent Usage,$0.25,$0.25
t-quickshoe-llc,,Worked for 4 minutes,Worked for 4 minutesTime worked4 minutesWork done21 actionsItems read490 linesCode changed+374-230Agent Usage,$1.61,$1.61
t-quickshoe-llc,,Worked for 43 seconds,Worked for 43 secondsTime worked43 secondsWork done1 actionAgent Usage,$0.31,$0.31
t-quickshoe-llc,,Worked for 1 minute,Worked for 1 minuteTime worked1 minuteWork done6 actionsItems read100 linesCode changed+135-65Agent Usage,$0.38,$0.38
t-quickshoe-llc,,Worked for 18 seconds,Worked for 18 secondsTime worked18 secondsWork done1 actionAgent Usage,$0.25,$0.25
t-quickshoe-llc,,Worked for 1 minute,Worked for 1 minuteTime worked1 minuteWork done8 actionsItems read220 linesCode changed+66-46Agent Usage,$0.44,$0.44
t-quickshoe-llc,,Worked for 46 seconds,Worked for 46 secondsTime worked46 secondsWork done3 actionsItems read160 linesAgent Usage,$0.45,$0.45
t-quickshoe-llc,,Worked for 46 seconds,Worked for 46 secondsTime worked46 secondsWork done4 actionsItems read30 linesAgent Usage,$0.20,$0.20
t-quickshoe-llc,,Worked for 1 minute,Worked for 1 minuteTime worked1 minuteWork done6 actionsItems read50 linesCode changed+43-43Agent Usage,$0.72,$0.72
t-quickshoe-llc,,Worked for 48 seconds,Worked for 48 secondsTime worked48 secondsWork done1 actionAgent Usage,$0.32,$0.32
t-quickshoe-llc,,Worked for 10 minutes,Worked for 10 minutesTime worked10 minutesWork done43 actionsItems read1569 linesCode changed+463-250Agent Usage,$4.73,$4.73
t-quickshoe-llc,,Worked for 27 seconds,Worked for 27 secondsTime worked27 secondsWork done1 actionAgent Usage,$0.20,$0.20
t-quickshoe-llc,,Worked for 3 minutes,Worked for 3 minutesTime worked3 minutesWork done12 actionsItems read420 linesCode changed+289-373Agent Usage,$1.31,$1.31
t-quickshoe-llc,,Worked for 5 seconds,Worked for 5 secondsTime worked5 secondsAgent Usage,$0.31,$0.31
t-quickshoe-llc,,Worked for 1 minute,Worked for 1 minuteTime worked1 minuteWork done8 actionsItems read1011 linesAgent Usage,$0.80,$0.80
t-quickshoe-llc,,Worked for 46 seconds,Worked for 46 secondsTime worked46 secondsWork done1 actionAgent Usage,$0.46,$0.46
t-quickshoe-llc,,Worked for 5 minutes,Worked for 5 minutesTime worked5 minutesWork done22 actionsItems read451 linesCode changed+596-335Agent Usage,$2.57,$2.57
